Stock Code,Date,Quantity,Action
NVDA,2023-06-02 08:50:31.578947368,5,Bought
TSLA,2022-11-22 06:18:56.842105264,-25,Sold
NVDA,2022-09-25 15:09:28.421052632,9,Bought
NVDA,2022-12-11 11:22:06.315789474,-2,Sold
NVDA,2022-09-06 10:06:18.947368421,-3,Sold
NVDA,2023-04-05 17:41:03.157894736,-4,Sold
TSLA,2023-05-14 03:47:22.105263156,5,Bought
TSLA,2023-02-07 02:31:34.736842104,3,Bought
NVDA,2023-03-17 12:37:53.684210528,-8,Sold
TSLA,2022-10-14 20:12:37.894736842,9,Bought
TSLA,2022-09-25 15:09:28.421052632,8,Bought
TSLA,2022-12-30 16:25:15.789473684,-1,Sold
TSLA,2022-09-06 10:06:18.947368421,9,Bought
NVDA,2022-07-30 00:00:00.000000000,4,Bought
TSLA,2023-07-30 00:00:00.000000000,-1,Sold
NVDA,2023-05-14 03:47:22.105263156,-7,Sold
NVDA,2023-01-18 21:28:25.263157894,3,Bought
NVDA,2022-12-30 16:25:15.789473684,-3,Sold
TSLA,2023-06-02 08:50:31.578947368,5,Bought
TSLA,2022-12-11 11:22:06.315789474,-8,Sold
TSLA,2023-04-24 22:44:12.631578948,1,Bought
TSLA,2023-02-26 07:34:44.210526316,-7,Sold
NVDA,2023-06-21 13:53:41.052631580,4,Bought
TSLA,2023-03-17 12:37:53.684210528,9,Bought
TSLA,2022-08-18 05:03:09.473684210,-4,Sold
NVDA,2023-02-26 07:34:44.210526316,2,Bought
TSLA,2023-04-05 17:41:03.157894736,4,Bought
NVDA,2022-11-03 01:15:47.368421052,-1,Sold
TSLA,2023-01-18 21:28:25.263157894,4,Bought
TSLA,2022-11-03 01:15:47.368421052,6,Bought
NVDA,2023-07-30 00:00:00.000000000,-7,Sold
NVDA,2022-10-14 20:12:37.894736842,4,Bought
NVDA,2023-02-07 02:31:34.736842104,5,Bought
NVDA,2022-11-22 06:18:56.842105264,-4,Sold
NVDA,2023-07-10 18:56:50.526315788,-2,Sold
NVDA,2022-08-18 05:03:09.473684210,-1,Sold
NVDA,2023-04-24 22:44:12.631578948,6,Bought
TSLA,2023-06-21 13:53:41.052631580,-15,Sold
TSLA,2023-07-10 18:56:50.526315788,-6,Sold
TSLA,2022-07-30 00:00:00.000000000,6,Bought
